date,close,SMA50,SMA100,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2015-03-25,123.38,122.127,117.09525,1.0,0.0,500.0,0.0,61690.0,77752.9,139442.9,-0.011729444591308535,0.39442900000000014
2015-03-26,124.24,122.4074,117.26785,1.0,0.0,500.0,0.0,62120.0,77752.9,139872.9,0.0030836994927672112,0.3987290000000001
2015-03-27,123.25,122.6764,117.42035,1.0,0.0,500.0,0.0,61625.0,77752.9,139377.9,-0.003538927125983693,0.3937790000000001
2015-03-30,126.37,123.06740000000002,117.59004999999999,1.0,0.0,500.0,0.0,63185.0,77752.9,140937.9,0.011192592225883757,0.40937900000000016
2015-03-31,124.43,123.43619999999999,117.74835000000002,1.0,0.0,500.0,0.0,62215.0,77752.9,139967.9,-0.0068824638369097135,0.3996790000000001
2015-04-01,124.25,123.74680000000001,117.90225000000001,1.0,0.0,500.0,0.0,62125.0,77752.9,139877.9,-0.0006430045746202984,0.3987790000000002
2015-04-02,125.32,124.06220000000002,118.06845,1.0,0.0,500.0,0.0,62660.0,77752.9,140412.9,0.003824764312303719,0.4041290000000002
2015-04-06,127.35,124.3612,118.25184999999999,1.0,0.0,500.0,0.0,63675.0,77752.9,141427.9,0.007228680555704026,0.4142790000000003
2015-04-07,126.01,124.62180000000001,118.42365,1.0,0.0,500.0,0.0,63005.0,77752.9,140757.9,-0.004737396228042701,0.40757900000000036
2015-04-08,125.6,124.87179999999998,118.58265,1.0,0.0,500.0,0.0,62800.0,77752.9,140552.9,-0.0014564013813789245,0.4055290000000005
2015-04-09,126.56,125.2202,118.73575000000001,1.0,0.0,500.0,0.0,63280.0,77752.9,141032.9,0.0034150842849915986,0.4103290000000004
2015-04-10,127.1,125.456,118.87855000000002,1.0,0.0,500.0,0.0,63550.0,77752.9,141302.9,0.0019144469127416741,0.41302900000000053
2015-04-13,126.85,125.615,119.00524999999999,1.0,0.0,500.0,0.0,63425.0,77752.9,141177.9,-0.0008846244486135912,0.41177900000000056
2015-04-14,126.3,125.79780000000001,119.12835000000001,1.0,0.0,500.0,0.0,63150.0,77752.9,140902.9,-0.001947896944210159,0.40902900000000053
2015-04-15,126.78,125.9608,119.24144999999999,1.0,0.0,500.0,0.0,63390.0,77752.9,141142.9,0.0017033006417894736,0.4114290000000005
2015-04-16,126.17,126.1112,119.35644999999998,1.0,0.0,500.0,0.0,63085.0,77752.9,140837.9,-0.0021609305179360883,0.4083790000000005
2015-04-17,124.75,126.215,119.44085,1.0,0.0,500.0,0.0,62375.0,77752.9,140127.9,-0.005041256650376025,0.4012790000000006
2015-04-20,127.6,126.3682,119.55215,1.0,0.0,500.0,0.0,63800.0,77752.9,141552.9,0.010169281063942215,0.4155290000000005
2015-04-21,126.91,126.52780000000001,119.635,1.0,0.0,500.0,0.0,63455.0,77752.9,141207.9,-0.0024372513738679658,0.41207900000000053
2015-04-22,128.62,126.7058,119.74520000000001,1.0,0.0,500.0,0.0,64310.0,77752.9,142062.9,0.006054902027436082,0.42062900000000036
2015-04-23,129.67,126.85879999999999,119.8519,1.0,0.0,500.0,0.0,64834.99999999999,77752.9,142587.9,0.003695546127806759,0.42587900000000034
2015-04-24,130.28,126.9668,119.96539999999999,1.0,0.0,500.0,0.0,65140.0,77752.9,142892.9,0.0021390314325409054,0.42892900000000034
2015-04-27,132.65,127.09060000000001,120.14120000000001,1.0,0.0,500.0,0.0,66325.0,77752.9,144077.9,0.00829292428105255,0.4407790000000005
2015-04-28,130.56,127.1602,120.30050000000001,1.0,0.0,500.0,0.0,65280.0,77752.9,143032.9,-0.007253020761685214,0.4303290000000004
2015-04-29,128.64,127.1764,120.4276,1.0,0.0,500.0,0.0,64319.99999999999,77752.9,142072.9,-0.006711742543149213,0.42072900000000035
2015-04-30,125.15,127.10510000000001,120.52420000000001,1.0,0.0,500.0,0.0,62575.0,77752.9,140327.9,-0.012282426838615912,0.4032790000000004
2015-05-01,128.95,127.11509999999998,120.6637,1.0,0.0,500.0,0.0,64474.99999999999,77752.9,142227.9,0.01353971662085729,0.4222790000000003
2015-05-04,128.7,127.0992,120.8267,1.0,0.0,500.0,0.0,64349.99999999999,77752.9,142102.9,-0.0008788711638152424,0.4210290000000003
2015-05-05,125.8,126.95519999999999,120.9435,1.0,0.0,500.0,0.0,62900.0,77752.9,140652.9,-0.010203873390339013,0.40652900000000036
2015-05-06,125.01,126.81199999999998,121.0741,1.0,0.0,500.0,0.0,62505.0,77752.9,140257.9,-0.0028083317158764665,0.40257900000000024
2015-05-07,125.26,126.7414,121.21050000000001,1.0,0.0,500.0,0.0,62630.0,77752.9,140382.9,0.000891215396779721,0.4038290000000002
2015-05-08,127.62,126.68549999999999,121.38939999999998,1.0,0.0,500.0,0.0,63810.0,77752.9,141562.9,0.008405582161360003,0.415629
2015-05-11,126.32,126.64269999999999,121.57035,1.0,0.0,500.0,0.0,63160.0,77752.9,140912.9,-0.00459159850497548,0.4091290000000001
2015-05-12,125.865,126.5782,121.76155,1.0,0.0,500.0,0.0,62932.5,77752.9,140685.4,-0.0016144724861953952,0.40685400000000005
2015-05-13,126.01,126.51119999999999,121.92755,1.0,0.0,500.0,0.0,63005.0,77752.9,140757.9,0.0005153342137846906,0.4075789999999999
2015-05-14,128.95,126.5194,122.09055000000001,1.0,0.0,500.0,0.0,64474.99999999999,77752.9,142227.9,0.010443463564034472,0.42227900000000007
2015-05-15,128.77,126.5666,122.26045,1.0,0.0,500.0,0.0,64385.00000000001,77752.9,142137.9,-0.000632787237947019,0.42137899999999995
2015-05-18,130.19,126.6384,122.43295,1.0,0.0,500.0,0.0,65095.0,77752.9,142847.9,0.004995149077058336,0.42847900000000005
2015-05-19,130.07,126.697,122.60825000000001,1.0,0.0,500.0,0.0,65035.0,77752.9,142787.9,-0.0004200271757582863,0.4278790000000001
2015-05-20,130.06,126.80799999999999,122.78875,1.0,0.0,500.0,0.0,65030.0,77752.9,142782.9,-3.501697272667581e-05,0.42782900000000024
2015-05-21,131.39,126.991,122.96275,1.0,0.0,500.0,0.0,65695.0,77752.9,143447.9,0.004657420461413819,0.4344790000000003
2015-05-22,132.54,127.15279999999998,123.14905,1.0,0.0,500.0,0.0,66270.0,77752.9,144022.9,0.004008423964380059,0.4402290000000002
2015-05-26,129.62,127.2734,123.32005,1.0,0.0,500.0,0.0,64810.0,77752.9,142562.9,-0.01013727678028975,0.42562900000000026
2015-05-27,132.045,127.41529999999999,123.5367,1.0,0.0,500.0,0.0,66022.5,77752.9,143775.4,0.008505017785132019,0.4377540000000002
2015-05-28,131.78,127.51009999999998,123.7612,1.0,0.0,500.0,0.0,65890.0,77752.9,143642.9,-0.0009215762919108084,0.4364290000000002
2015-05-29,130.28,127.54630000000002,124.00150000000002,1.0,0.0,500.0,0.0,65140.0,77752.9,142892.9,-0.005221281385992649,0.4289290000000001
2015-06-01,130.535,127.6071,124.24425000000001,1.0,0.0,500.0,0.0,65267.5,77752.9,143020.4,0.0008922766631511703,0.43020400000000003
2015-06-02,129.96,127.6883,124.46635,1.0,0.0,500.0,0.0,64980.00000000001,77752.9,142732.9,-0.0020102027403083866,0.42732900000000007
2015-06-03,130.12,127.7465,124.64865,1.0,0.0,500.0,0.0,65060.0,77752.9,142812.9,0.000560487455940395,0.428129
2015-06-04,129.36,127.7999,124.82214999999998,1.0,0.0,500.0,0.0,64680.00000000001,77752.9,142432.9,-0.0026608240572104647,0.42432899999999996
2015-06-05,128.65,127.90530000000001,125.01615,1.0,0.0,500.0,0.0,64325.0,77752.9,142077.9,-0.002492401685284751,0.420779
2015-06-08,127.8,127.9765,125.19194999999999,1.0,0.0,500.0,0.0,63900.0,77752.9,141652.9,-0.002991316735396543,0.41652900000000015
2015-06-09,127.42,128.0599,125.36815,1.0,0.0,500.0,0.0,63710.0,77752.9,141462.9,-0.0013413068140504247,0.41462900000000014
2015-06-10,128.88,128.1101,125.58875,1.0,0.0,500.0,0.0,64440.0,77752.9,142192.9,0.005160363600632989,0.421929
2015-06-11,128.59,128.1933,125.81474999999999,1.0,0.0,500.0,0.0,64295.0,77752.9,142047.9,-0.0010197414920154468,0.42047900000000005
2015-06-12,127.17,128.2517,125.99924999999999,1.0,0.0,500.0,0.0,63585.0,77752.9,141337.9,-0.004998313949027056,0.41337899999999994
2015-06-15,126.92,128.28369999999998,126.17295,1.0,0.0,500.0,0.0,63460.0,77752.9,141212.9,-0.0008844053859580203,0.41212899999999997
2015-06-16,127.6,128.2887,126.32494999999999,1.0,0.0,500.0,0.0,63800.0,77752.9,141552.9,0.0024077120433048105,0.41552900000000004
2015-06-17,127.3,128.31449999999998,126.46814999999998,1.0,0.0,500.0,0.0,63650.0,77752.9,141402.9,-0.001059674510377362,0.414029
2015-06-18,127.88,128.3601,126.61595,1.0,0.0,500.0,0.0,63940.0,77752.9,141692.9,0.002050877315811661,0.4169289999999999
2015-06-19,126.6,128.36090000000002,126.79055,1.0,0.0,500.0,0.0,63300.0,77752.9,141052.9,-0.004516810651768677,0.4105289999999999
2015-06-22,127.61,128.37109999999998,126.91355,1.0,0.0,500.0,0.0,63805.0,77752.9,141557.9,0.0035802170674974487,0.4155789999999999
2015-06-23,127.03,128.3747,126.99485,1.0,0.0,500.0,0.0,63515.0,77752.9,141267.9,-0.0020486316906368485,0.4126789999999998
2015-06-24,128.11,128.4109,127.10435000000001,1.0,0.0,500.0,0.0,64055.00000000001,77752.9,141807.9,0.003822524437611108,0.41807899999999987
2015-06-25,127.5,128.4253,127.19305,1.0,0.0,500.0,0.0,63750.0,77752.9,141502.9,-0.0021507969584204645,0.41502899999999987
2015-06-26,126.75,128.4369,127.27405,1.0,0.0,500.0,0.0,63375.0,77752.9,141127.9,-0.0026501223649832983,0.41127899999999995
2015-06-29,124.53,128.4325,127.32375,1.0,0.0,500.0,0.0,62265.0,77752.9,140017.9,-0.007865205958566657,0.40017900000000006
2015-06-30,125.425,128.389,127.3786,1.0,0.0,500.0,0.0,62712.5,77752.9,140465.4,0.003196019937450778,0.40465399999999985
2015-07-01,126.6,128.3828,127.45530000000001,1.0,0.0,500.0,0.0,63300.0,77752.9,141052.9,0.004182524664436915,0.4105289999999999
2015-07-02,126.44,128.3392,127.5225,1.0,0.0,500.0,0.0,63220.0,77752.9,140972.9,-0.0005671630998015376,0.409729
2015-07-06,126.0,128.2658,127.5623,1.0,0.0,500.0,0.0,63000.0,77752.9,140752.9,-0.0015605836299033005,0.40752900000000003
2015-07-07,125.69,128.174,127.5704,1.0,0.0,500.0,0.0,62845.0,77752.9,140597.9,-0.0011012206498054455,0.4059790000000001
2015-07-08,122.57,127.9724,127.5315,1.0,0.0,500.0,0.0,61285.0,77752.9,139037.9,-0.011095471553984826,0.39037900000000003
2015-07-09,120.07,127.7626,127.4614,1.0,0.0,500.0,0.0,60035.0,77752.9,137787.9,-0.008990354428540681,0.3778790000000001
2015-07-10,123.28,127.65539999999999,127.41590000000001,1.0,0.0,500.0,0.0,61640.0,77752.9,139392.9,0.011648337771313688,0.393929
